SalesforceID,Name,Latitude,Longitude,URL
a3q5x0000024O5f,DC - Adams Morgan at Unity Park,38.92319876,-77.04158972,https://www.tfaforms.com/4806228?tfa_3116=DC - Adams Morgan at Unity Park&tfa_3117=a3q5x0000024O5f
a3q5x0000024O5v,VA - Alexandria - Carlyle,38.80332077,-77.0617073,https://www.tfaforms.com/4806228?tfa_3116=VA - Alexandria - Carlyle&tfa_3117=a3q5x0000024O5v
a3q5x0000024O5u,VA - Alexandria - Del Ray,38.82974977,-77.0596263,https://www.tfaforms.com/4806228?tfa_3116=VA - Alexandria - Del Ray&tfa_3117=a3q5x0000024O5u
a3q5x0000024O4X,VA - Alexandria - Fairlington Centre,38.82927927,-77.0849523,https://www.tfaforms.com/4806228?tfa_3116=VA - Alexandria - Fairlington Centre&tfa_3117=a3q5x0000024O4X
a3q5x0000024O5q,VA - Alexandria - Mark Center,38.83051977,-77.11648332,https://www.tfaforms.com/4806228?tfa_3116=VA - Alexandria - Mark Center&tfa_3117=a3q5x0000024O5q
a3q5x0000024O4K,VA - Alexandria - Old Town (north end) at APTA,38.81614682,-77.03926541,https://www.tfaforms.com/4806228?tfa_3116=VA - Alexandria - Old Town (north end) at APTA&tfa_3117=a3q5x0000024O4K
a3q5x0000024O4n,VA - Alexandria - Old Town at City Hall,38.80522177,-77.04298629,https://www.tfaforms.com/4806228?tfa_3116=VA - Alexandria - Old Town at City Hall&tfa_3117=a3q5x0000024O4n
a3q5x0000024O5x,DC - Anacostia,38.86735378,-76.98783928,https://www.tfaforms.com/4806228?tfa_3116=DC - Anacostia&tfa_3117=a3q5x0000024O5x
a3q5x0000024O5p,DC - Anacostia River Trail - River Terrace,38.89669149,-76.96028027,https://www.tfaforms.com/4806228?tfa_3116=DC - Anacostia River Trail - River Terrace&tfa_3117=a3q5x0000024O5p
a3q5x0000024O5F,VA - Annandale - Wakefield Park at Audrey Moore RECenter,38.81651406,-77.22370852,https://www.tfaforms.com/4806228?tfa_3116=VA - Annandale - Wakefield Park at Audrey Moore RECenter&tfa_3117=a3q5x0000024O5F
a3q5x0000024O5K,VA - Arlington - Arlington Mill Community Center (Afternoon),38.85630084,-77.11242621,https://www.tfaforms.com/4806228?tfa_3116=VA - Arlington - Arlington Mill Community Center (Afternoon)&tfa_3117=a3q5x0000024O5K
a3q5x0000024O4t,VA - Arlington - Ballston at Spokes Etc. Bicycles,38.87987198,-77.10748969,https://www.tfaforms.com/4806228?tfa_3116=VA - Arlington - Ballston at Spokes Etc. Bicycles&tfa_3117=a3q5x0000024O4t
a3q5x0000024O4v,VA - Arlington - Ballston at TechSpace (Midday),38.88001253,-77.10878302,https://www.tfaforms.com/4806228?tfa_3116=VA - Arlington - Ballston at TechSpace (Midday)&tfa_3117=a3q5x0000024O4v
